Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	31982.25	2200.4724	35521.0	29478.0	1000.0	399.057	3.165601e-05	399.05698	399.0566	308000	4.4941903e-08	6754564.5	-0.007335153	-24265.0	0.55331415	0.01526188	0.12075	9.0	54791.66368031502
77	32599.5	3038.9766	36037.0	28362.0	1000.0	403.91986	3.236878e-05	403.9199	403.91953	312000	-5.9604645e-08	7197077.0	-0.008300156	-25361.0	0.5517421	0.015083656	0.1535	11.0	55931.52200341225
78	33338.0	1948.2639	36081.0	30940.0	1000.0	408.86316	3.385251e-05	408.86313	408.8627	316000	-2.3365021e-07	7405090.0	-0.008872146	-26094.5	0.54995435	0.016630135	0.14175	9.0	57081.22580051422
79	33880.5	2329.711	36086.0	30441.0	1000.0	413.8895	6.366409e-05	413.88943	413.8892	320000	2.384186e-09	7537328.5	-0.018477611	-26672.0	0.547923	0.0122889485	0.13275	79.0	58281.99489212036
80	33798.25	1484.3418	35453.0	31649.0	1000.0	418.97656	6.075413e-05	418.97662	418.97653	324000	-3.1971933e-07	7568504.0	-0.005735581	-26856.5	0.5452369	0.015261148	0.12275	3.0	59561.45926761627
81	33384.0	2662.7837	35947.0	29707.0	1000.0	424.08774	1.1305929e-05	424.08774	424.0875	328000	2.2101403e-07	7338124.5	-0.007907838	-26230.5	0.54539263	0.015935414	0.1475	8.0	60645.59476518631
82	35385.0	1043.5917	36023.0	33578.0	1000.0	429.1475	5.919938e-05	429.14755	429.14728	332000	1.5616418e-07	8145440.0	-0.016742377	-29144.0	0.5451921	0.0150505975	0.12575	59.0	61473.48763346672
83	33955.5	3231.5564	36000.0	28369.0	1000.0	434.4605	4.996875e-05	434.46057	434.46033	336000	-4.041195e-07	7546770.0	-0.0114642475	-27071.0	0.54273933	0.016119715	0.11225	10.0	62533.753524303436
84	34122.5	1959.2922	36136.0	32044.0	1000.0	439.60794	3.9262854e-05	439.60794	439.6077	340000	-1.8405915e-07	7620070.0	-0.014080347	-27283.0	0.54314065	0.015294708	0.133	21.0	63686.22419142723
85	31925.5	2608.7522	36035.0	28795.0	1000.0	444.7636	6.473756e-06	444.7636	444.76343	344000	-3.3378602e-09	6399098.0	-0.015846336	-23051.5	0.53947806	0.012756022	0.1205	79.0	64793.04079461098
86	33870.0	2363.7012	36171.0	30614.0	1000.0	449.539	6.228315e-05	449.53894	449.53873	348000	-2.87056e-07	7380940.5	-0.014581308	-26229.5	0.53669715	0.010307655	0.121	79.0	65909.48466324806
87	34354.0	2798.4636	36080.0	29510.0	1000.0	454.59705	7.723269e-05	454.597	454.59674	352000	1.3887883e-07	7539680.5	-0.008806464	-27211.5	0.5457726	0.016000723	0.13	10.0	66999.71335220337
88	34660.25	1332.8834	36008.0	33272.0	1000.0	459.76663	2.0877236e-05	459.76663	459.76645	356000	-1.8787385e-07	7760730.0	-0.010064699	-28003.0	0.5449715	0.015514579	0.1345	15.0	68029.78845381737
89	35416.75	90.53556	35566.0	35333.0	1000.0	465.01062	0.00012244358	465.0105	465.01025	360000	-1.0681153e-07	8116188.5	-0.010927426	-29395.5	0.54256934	0.016815575	0.134	11.0	69165.91410589218
90	34652.5	2533.7124	36127.0	30264.0	1000.0	470.37488	6.2782085e-05	470.37482	470.3746	364000	-1.6468765e-07	7583157.5	-0.009664296	-27537.0	0.54139405	0.015201282	0.1785	12.0	70313.71503686905
