time,p:1,q :1,timeStamp
0.512,1602826.245,-1641562.556,
0.513,1597566.032,-1637848.667,
0.514,1592227.487,-1635085.854,
0.515,1587201.178,-1633181.045,
0.516,1582824.963,-1631929.459,
0.517,1579340.729,-1631044.256,
0.518,1576864.842,-1630196.287,
0.519,1575375.863,-1629058.485,
0.52,1574720.73,-1627348.918,
0.521,1574638.16,-1624866.879,
0.522,1574795.74,-1621517.42,
0.523,1574835.506,-1617321.364,
0.524,1574421.787,-1612409.832,
0.525,1573284.942,-1607004.364,
0.526,1571255.332,-1601385.602,
0.527,1568283.281,-1595854.931,
0.528,1564442.732,-1590694.295,
0.529,1559918.512,-1586129.528,
0.53,1554979.285,-1582301.947,
0.531,1549940.106,-1579251.761,
0.532,1545119.765,-1576915.18,
0.533,1540798.673,-1575135.306,
0.534,1537182.836,-1573685.029,
0.535,1534378.508,-1572298.625,
0.536,1532380.619,-1570707.696,
0.537,1531076.162,-1568676.611,
0.538,1530261.731,-1566032.784,
0.539,1529672.558,-1562687.93,
0.54,1529018.93,-1558647.717,
0.541,1528025.023,-1554008.802,
0.542,1526464.95,-1548943.956,
0.543,1524191.355,-1543677.517,
0.544,1521152.962,-1538454.622,
0.545,1517399.016,-1533508.444,
0.546,1513070.375,-1529029.767,
0.547,1508378.724,-1525142.877,
0.548,1503576.96,-1521890.781,
0.549,1498924.866,-1519231.486,
0.55,1494654.698,-1517045.56,
0.551,1490941.247,-1515153.719,
0.552,1487880.204,-1513341.882,
0.553,1485477.477,-1511390.21,
0.554,1483650.61,-1509102.22,
0.555,1482241.821,-1506330.133,
0.556,1481040.655,-1502993.198,
0.557,1479813.034,-1499086.759,
0.558,1478332.718,-1494681.077,
0.559,1476410.969,-1489910.317,
0.56,1473920.547,-1484953.368,
0.561,1470811.017,-1480009.24,
0.562,1467113.555,-1475270.381,
0.563,1462934.879,-1470897.499,
0.564,1458441.357,-1466999.16,
0.565,1453835.644,-1463618.737,
0.566,1449329.095,-1460730.259,
0.567,1445113.705,-1458243.491,
0.568,1441337.278,-1456017.36,
0.569,1438085.028,-1453879.762,
0.57,1435369.886,-1451650.976,
0.571,1433132.557,-1449167.543,
0.572,1431251.12,-1446303.421,
0.573,1429558.642,-1442985.718,
0.574,1427866.309,-1439203.051,
0.575,1425988.872,-1435005.599,
0.576,1423769.012,-1430497.05,
0.577,1421097.425,-1425819.683,
0.578,1417926.091,-1421134.731,
0.579,1414273.139,-1416600.705,
0.58,1410218.872,-1412352.591,
0.581,1405893.686,-1408484.641,
0.582,1401459.68,-1405038.942,
0.583,1397088.531,-1402001.116,
0.584,1392938.644,-1399303.575,
0.585,1389134.602,-1396835.693,
0.586,1385751.581,-1394459.417,
0.587,1382806.657,-1392028.116,
0.588,1380257.982,-1389406.113,
0.589,1378011.756,-1386486.308,
0.59,1375935.876,-1383203.629,
0.591,1373878.308,-1379542.611,
0.592,1371687.64,-1375538.278,
0.593,1369233.055,-1371270.342,
0.594,1366421.103,-1366851.655,
0.595,1363207.137,-1362412.574,
0.596,1359600.039,-1358083.386,
0.597,1355659.769,-1353977.161,
0.598,1351488.242,-1350175.28,
0.599,1347214.89,-1346717.477,
0.6,1342978.945,-1343597.614,
0.601,1338901.068,-1340762.51,
0.602,1335076.244,-1338123.389,
0.603,1331570.691,-1335570.744,
0.604,1328404.357,-1332985.928,
0.605,1325549.44,-1330257.012,
0.606,1322935.235,-1327293.387,
0.607,1320458.529,-1324037.21,
0.608,1317998.016,-1320470.263,
0.609,1315430.769,-1316615.426,
0.61,1312648.506,-1312532.706,
0.611,1309571.543,-1308310.471,
0.612,1306158.633,-1304053.152,
0.613,1302411.496,-1299867.125,
0.614,1298373.578,-1295846.671,
0.615,1294123.33,-1292061.863,
0.616,1289763.044,-1288549.928,
0.617,1285404.808,-1285311.142,
0.618,1281155.515,-1282309.689,
