TimeStamp,wSpeed100,,,,w250,w300,w350,w400
50.2501,9.52,,,,,,,
50.5,10.03,,,,,,,
50.501,10.45,,,,,,,
50.75,10.76,,,,,,,
50.7501,11.05,,,,,,,
51,11.15,,,,,,,
51.01,11.34,,,,,,,
51.25,11.53,,,,,,,
51.2501,11.95,,,,,,,
51.5,12.22,,,,,,,
51.501,12.24,,,,,,,
51.75,11.97,,,,,,,
51.7501,8.84,,,,,,,
52,8.17,,,,,,,
52.01,7.41,,,,,,,
52.25,6.43,,,,,,,
52.2501,5.53,,,,,,,
52.5,5.69,,,,,,,
52.501,6.2,,,,,,,
52.75,6.69,,,,,,,
52.7501,7.11,,,,,,,
53,7.34,,,,,,,
53.01,8.07,,,,,,,
53.25,9.09,,,,,,,
53.2501,10.04,,,,,,,
53.5,10.85,,,,,,,
53.501,11.16,,,,,,,
53.75,11.34,,,,,,,
53.7501,10.83,,,,,,,
54,10.36,,,,,,,
54.01,10.25,,,,,,,
54.25,10.56,,,,,,,
54.2501,10.83,,,,,,,
54.5,10.91,,,,,,,
54.501,10.88,,,,,,,
54.75,10.82,,,,,,,
54.7501,8.15,,,,,,,
55,7.58,,,,,,,
55.01,7.22,,,,,,,
55.25,6.78,,,,,,,
55.2501,6.62,,,,,,,
55.5,6.34,,,,,,,
55.501,6.22,,,,,,,
55.75,6.22,,,,,,,
55.7501,6.4,,,,,,,
56,6.99,,,,,,,
56.01,7.87,,,,,,,
56.25,9.36,,,,,,,
56.2501,10.47,,,,,,,
56.5,11,,,,,,,
56.501,10.99,,,,,,,
56.75,11.13,,,,,,,
56.7501,11.19,,,,,,,
57,10.97,,,,,,,
57.01,11.24,,,,,,,
57.25,10.98,,,,,,,
57.2501,11.54,,,,,,,
57.5,11.71,,,,,,,
57.501,12.05,,,,,,,
57.75,11.94,,,,,,,
57.7501,9.03,,,,,,,
58,7.9,,,,,,,
58.01,7.34,,,,,,,
58.25,7.62,,,,,,,
58.2501,7.54,,,,,,,
58.5,7.41,,,,,,,
58.501,7.54,,,,,,,
58.75,7.4,,,,,,,
58.7501,7.64,,,,,,,
59,8.04,,,,,,,
59.01,9.36,,,,,,,
59.25,10.28,,,,,,,
59.2501,10.53,,,,,,,
59.5,10.93,,,,,,,
59.501,10.94,,,,,,,
59.75,10.93,,,,,,,
59.7501,11.14,,,,,,,
60,11.31,,,,,,,
60.01,11.41,,,,,,,
60.25,11.34,,,,,,,
60.2501,11.13,,,,,,,
60.5,10.9,,,,,,,
60.501,10.99,,,,,,,
60.75,10.64,,,,,,,
60.7501,7.47,,,,,,,
61,6.36,,,,,,,
61.01,6.27,,,,,,,
61.25,6.28,,,,,,,
61.2501,6.49,,,,,,,
61.5,6.7,,,,,,,
61.501,6.56,,,,,,,
61.75,6.44,,,,,,,
61.7501,6.72,,,,,,,
62,7.24,,,,,,,
62.01,8.34,,,,,,,
62.25,9.88,,,,,,,
62.2501,10.55,,,,,,,
62.5,9.95,,,,,,,
62.501,9.53,,,,,,,
62.75,9.15,,,,,,,
62.7501,9.67,,,,,,,
63,10.38,,,,,,,
63.01,11.03,,,,,,,
63.25,11.28,,,,,,,
63.2501,8.87,,,,,,,
63.5,8.96,,,,,,,
63.501,9.02,,,,,,,
63.75,9.13,,,,,,,
63.7501,7.38,,,,,,,
64,6.98,,,,,,,
64.01,8.02,,,,,,,
64.25,7.85,,,,,,,
64.2501,7.94,,,,,,,
64.5,8.64,,,,,,,
64.501,8.79,,,,,,,
64.75,9.03,,,,,,,
64.7501,9.61,,,,,,,
65,9.94,,,,,,,
65.01,10,,,,,,,
65.25,11.15,,,,,,,
65.2501,11.76,,,,,,,
65.5,11.17,,,,,,,
65.501,11.06,,,,,,,
65.75,11.14,,,,,,,
65.7501,10.96,,,,,,,
66,11.23,,,,,,,
66.01,11.58,,,,,,,
66.25,11.58,,,,,,,
66.2501,11.26,,,,,,,
66.5,10.97,,,,,,,
66.501,10.74,,,,,,,
66.75,10.79,,,,,,,
66.7501,8.55,,,,,,,
67,8.05,,,,,,,
67.01,8.02,,,,,,,
67.25,8.01,,,,,,,
67.2501,8.74,,,,,,,
67.5,9.55,,,,,,,
67.501,10.2,,,,,,,
67.75,10.44,,,,,,,
67.7501,10.41,,,,,,,
68,10.23,,,,,,,
68.01,9.85,,,,,,,
