TimeStamp,wSpeed.100
206.25,8.46
206.2501,9.8
206.5,10.88
206.501,11.5
206.75,11.85
206.7501,12.07
207,12.05
207.01,11.99
207.25,12.18
207.2501,11.42
207.5,11.67
207.501,11.61
207.75,10.57
207.7501,8.66
208,9.24
208.01,9.39
208.25,9.22
208.2501,9
208.5,8.7
208.501,8.12
208.75,8.09
208.7501,8.02
209,8.11
209.01,7.69
209.25,8.33
209.2501,8.42
209.5,8.84
209.501,9.17
209.75,9.61
209.7501,10.14
210,10.43
210.01,10.31
210.25,9.87
210.2501,9.15
210.5,9.25
210.501,9.1
210.75,8.93
210.7501,6.49
211,7.18
211.01,6.97
211.25,6.29
211.2501,5.71
211.5,5.21
211.501,4.87
211.75,4.62
211.7501,4.55
212,4.74
212.01,5.38
212.25,6.73
212.2501,7.23
212.5,7.55
212.501,8.06
212.75,8.57
212.7501,8.68
213,8.48
213.01,8.43
213.25,9.07
213.2501,9.11
213.5,9.06
213.501,8.95
213.75,8.71
213.7501,6.99
214,5.48
214.01,5.88
214.25,5.47
214.2501,4.83
214.5,4.3
214.501,3.8
214.75,3.67
214.7501,3.65
215,3.45
215.01,3.27
215.25,3.02
215.2501,3.65
215.5,3.8
215.501,4.19
215.75,5.43
215.7501,6.32
216,6.54
216.01,6.56
216.25,6.7
216.2501,6.39
216.5,6.36
216.501,6.62
216.75,6.86
216.7501,5.83
217,4.75
217.01,5.16
217.25,4.92
217.2501,4.05
217.5,3.22
