time,p:1,q :1,timeStamp
0.556,793116.2541,-864991.3292,
0.557,794137.1861,-862628.4443,
0.558,794915.517,-859735.1924,
0.559,795262.8976,-856443.7257,
0.56,795052.1809,-852936.3182,
0.561,794232.7107,-849420.1289,
0.562,792835.1533,-846099.2886,
0.563,790965.486,-843148.0544,
0.564,788789.2012,-840688.5482,
0.565,786508.0443,-838775.9025,
0.566,784332.5354,-837392.5961,
0.567,782454.0001,-836452.5051,
0.568,781019.811,-835813.9032,
0.569,780115.0252,-835299.4816,
0.57,779752.6863,-834720.58,
0.571,779873.8575,-833902.3346,
0.572,780357.147,-832706.4026,
0.573,781036.2386,-831048.3269,
0.574,781722.9212,-828907.3784,
0.575,782232.4469,-826327.7597,
0.576,782407.8174,-823411.2178,
0.577,782139.8214,-820302.2465,
0.578,781380.2842,-817168.0072,
0.579,780146.9463,-814175.7425,
0.58,778519.531,-811470.7211,
0.581,776627.7337,-809157.6095,
0.582,774632.9117,-807287.6434,
0.583,772706.0439,-805853.1534,
0.584,771004.9554,-804789.9883,
0.585,769653.8298,-803987.328,
0.586,768727.6552,-803303.4146,
0.587,768243.5346,-802584.9852,
0.588,768159.8421,-801687.756,
0.589,768383.1427,-800495.2301,
0.59,768781.7784,-798933.3903,
0.591,769204.164,-796979.4387,
0.592,769499.2675,-794663.5716,
0.593,769536.5209,-792063.7253,
0.594,769222.5484,-789294.1527,
0.595,768512.5847,-786489.485,
0.596,767415.2055,-783786.49,
0.597,765989.9082,-781305.9858,
0.598,764338.0369,-779137.2918,
0.599,762588.4082,-777327.2067,
0.6,760879.6632,-775874.8576,
0.601,759344.3132,-774733.3151,
0.602,758089.1941,-773816.417,
0.603,757179.7366,-773010.8553,
0.604,756634.8524,-772192.2026,
0.605,756425.5736,-771241.585,
0.606,756480.0381,-770061.2213,
0.607,756694.012,-768586.8088,
0.608,756945.4245,-766795.1968,
0.609,757110.9036,-764706.45,
0.61,757082.081,-762380.1633,
0.611,756779.5234,-759906.6536,
0.612,756162.5098,-757394.3112,
0.613,755233.4661,-754954.8722,
0.614,754036.6022,-752688.6032,
0.615,752651.0713,-750671.3543,
0.616,751179.6877,-748945.1424,
0.617,749734.7974,-747513.4219,
0.618,748423.2342,-746341.5543,
0.619,747332.3685,-745362.2886,
0.62,746519.0602,-744485.4117,
0.621,746002.9044,-743610.1933,
0.622,745764.5543,-742638.9204,
0.623,745749.2206,-741489.7071,
0.624,745874.7601,-740106.9112,
0.625,746043.1752,-738467.839,
0.626,746153.9252,-736584.9447,
