time,p:1,q :1,,,
44.8,130652.8492,-268502.8602,44.7501,0.7501,44
44.9,-151637.5247,-245720.2381, , , 
45,-181665.0383,-238585.4622,45,0,45
45.1,-27587.1109,-235118.4433, ,, 
45.2,70674.69509,-234018.0071,45.25,0.25,45
45.3,-11395.72909,-227574.3294,45.2501,0.2501,45
45.4,-197550.0807,-224005.4349, , , 
45.5,-351179.9912,-229523.7878,45.5,0.5,45
45.6,-374203.0715,-235340.6613,45.501,0.501,45
45.7,-295473.7618,-235829.5521,45.75,0.75,45
45.8,-206240.3327,-233957.0795,45.7501,0.7501,45
45.9,-161272.8394,-231668.7558, , , 
46,-166355.1392,-229611.8544,46,0,46
46.1,-197645.2462,-228554.0157, ,, 
46.2,-210201.1272,-228344.4316,46.25,0.25,46
46.3,-185431.8447,-228001.2366,46.2501,0.2501,46
46.4,-129278.8135,-227169.2602, , , 
46.5,-71010.51193,-226294.6677,46.5,0.5,46
46.6,-46431.82188,-225057.9573,46.501,0.501,46
46.7,-40810.61868,-223678.6757,46.75,0.75,46
46.8,-35914.5428,-222727.8118,46.7501,0.7501,46
46.9,-53911.44694,-221727.8886, , , 
47,-87992.79306,-220917.4024,47,0,47
47.1,-102851.7004,-220925.3386, ,, 
47.2,-62794.41833,-221523.798,47.25,0.25,47
47.3,20535.36884,-223158.0542,47.2501,0.2501,47
47.4,255362.6946,-234353.5502, , , 
47.5,600416.7635,-274953.3957,47.5,0.5,47
47.6,813764.1982,-321835.0513,47.501,0.501,47
47.7,831479.355,-339864.6576,47.75,0.75,47
47.8,677643.603,-320297.4246,47.7501,0.7501,47
47.9,244488.8648,-265302.1751, , , 
48,-282710.8208,-240089.9697,48,0,48
48.1,-493327.6666,-249752.6758, ,, 
48.2,-336059.67,-246129.6889,48.25,0.25,48
48.3,-30543.535,-240883.9608,48.2501,0.2501,48
48.4,165548.6867,-242928.7363, , , 
48.5,152033.8866,-237478.8341,48.5,0.5,48
48.6,10069.82999,-227245.5826,48.501,0.501,48
48.7,-118221.2525,-222584.246,48.75,0.75,48
48.8,-147035.7866,-222393.4354,48.7501,0.7501,48
48.9,-96201.11525,-222957.9311, , , 
49,-39081.22988,-223399.7723,49,0,49
49.1,-28168.54782,-222806.5892, ,, 
49.2,-53425.45269,-221536.7725,49.25,0.25,49
49.3,-48240.90123,-221162.3636,49.2501,0.2501,49
49.4,54132.62191,-223478.2989, , , 
49.5,223592.2296,-232111.6485,49.5,0.5,49
49.6,371186.3673,-245342.2955,49.501,0.501,49
49.7,487942.7785,-260618.4103,49.75,0.75,49
49.8,527154.3882,-270049.7594,49.7501,0.7501,49
49.9,429012.992,-260916.4945, , , 
50,268430.6641,-243815.3311,50,0,50
