time,p:1,timeStamp
0.942,971048.0697,
0.943,967041.2905,
0.944,963034.6469,
0.945,959029.8227,
0.946,955027.6164,
0.947,951027.8928,
0.948,947029.658,
0.949,943031.2466,
0.95,939030.593,
0.951,935025.5479,
0.952,931014.1992,
0.953,926995.1535,
0.954,922967.7422,
0.955,918932.1269,
0.956,914889.2932,
0.957,910840.9356,
0.958,906789.2519,
0.959,902736.6758,
0.96,898685.5857,
0.961,894638.0266,
0.962,890595.484,
0.963,886558.7361,
0.964,882527.803,
0.965,878501.9978,
0.966,874480.0682,
0.967,870460.4109,
0.968,866441.3254,
0.969,862421.2758,
0.97,858399.1236,
0.971,854374.3023,
0.972,850346.9133,
0.973,846317.7301,
0.974,842288.1144,
0.975,838259.8565,
0.976,834234.9627,
0.977,830215.4199,
0.978,826202.9676,
0.979,822198.9087,
0.98,818203.9818,
0.981,814218.3115,
0.982,810241.4402,
0.983,806272.4364,
0.984,802310.0621,
0.985,798352.9772,
0.986,794399.9517,
0.987,790450.0584,
0.988,786502.8207,
0.989,782558.2977,
0.99,778617.0959,
0.991,774680.3086,
0.992,770749.3927,
0.993,766825.9998,
0.994,762911.7863,
0.995,759008.2268,
0.996,755116.4559,
0.997,751237.1593,
0.998,747370.5255,
0.999,743516.2646,
1,739673.6901,
1.001,735838.0148,
1.002,732004.4409,
1.003,728172.223,
1.004,724340.9519,
1.005,720510.6325,
1.006,716681.7053,
1.007,712855.01,
1.008,709031.6967,
1.009,705213.0994,
1.01,701400.5866,
1.011,697595.4122,
1.012,693798.5844,
1.013,690010.7701,
1.014,686232.2467,
1.015,682462.906,
1.016,678702.3093,
1.017,674949.7838,
1.018,671204.5483,
1.019,667465.8492,
1.02,663733.09,
1.021,660005.9364,
1.022,656284.3845,
1.023,652568.7834,
1.024,648859.8105,
1.025,645158.4039,
1.026,641465.6627,
1.027,637782.7269,
1.028,634110.6558,
1.029,630450.3196,
1.03,626802.3183,
1.031,623166.9377,
1.032,619544.1483,
1.033,615933.6457,
1.034,612334.925,
1.035,608747.3815,
1.036,605170.42,
1.037,601603.5615,
1.038,598046.5308,
1.039,594499.3157,
1.04,590962.1894,
1.041,587435.6946,
1.042,583920.5922,
1.043,580417.7828,
1.044,576928.2105,
1.045,573452.7643,
1.046,569992.1878,
1.047,566547.0109,
1.048,563117.5109,
1.049,559703.7072,
1.05,556305.3907,
1.051,552922.1821,
1.052,549553.6104,
1.053,546199.2025,
1.054,542858.5698,
1.055,539531.4817,
1.056,536217.9162,
1.057,532918.0817,
1.058,529632.407,
1.059,526361.5035,
1.06,523106.1027,
1.061,519866.9797,
1.062,516644.873,
1.063,513440.4102,
1.064,510254.05,
1.065,507086.0479,
1.066,503936.4492,
1.067,500805.1096,
1.068,497691.74,
1.069,494595.9692,
1.07,491517.4156,
1.071,488455.7581,
1.072,485410.7978,
1.073,482382.5006,
1.074,479371.0178,
1.075,476376.6812,
1.076,473399.9741,
1.077,470441.4832,
1.078,467501.8368,
1.079,464581.6402,
1.08,461681.4144,
1.081,458801.5471,
1.082,455942.263,
1.083,453103.6155,
1.084,450285.5008,
1.085,447487.6926,
1.086,444709.8913,
1.087,441951.7823,
1.088,439213.0932,
1.089,436493.6452,
1.09,433793.39,
1.091,431112.4279,
1.092,428451.0066,
1.093,425809.4994,
1.094,423188.3676,
1.095,420588.112,
1.096,418009.2196,
1.097,415452.1135,
1.098,412917.1125,
1.099,410404.4042,
1.1,407914.0369,
1.101,405439.2239,
1.102,402973.2826,
1.103,400516.44,
1.104,398069.0691,
1.105,395631.6522,
1.106,393204.7301,
1.107,390788.844,
1.108,388384.4794,
1.109,385992.0186,
1.11,383611.707,
1.111,381243.6386,
1.112,378887.762,
1.113,376543.9047,
1.114,374211.8128,
1.115,371891.2002,
1.116,369581.8011,
1.117,367283.4179,
1.118,364995.9592,
1.119,362719.4619,
1.12,360454.097,
1.121,358200.156,
1.122,355958.0228,
1.123,353728.1329,
1.124,351510.9272,
1.125,349306.8059,
1.126,347116.0888,
1.127,344938.9869,
1.128,342775.5886,
1.129,340625.8631,
1.13,338489.678,
1.131,336366.8306,
1.132,334257.0877,
1.133,332160.2272,
1.134,330076.0784,
1.135,328004.5532,
1.136,325945.6662,
1.137,323899.5406,
1.138,321866.3986,
1.139,319846.5403,
1.14,317840.3109,
1.141,315848.0642,
1.142,313870.1246,
1.143,311906.7542,
1.144,309958.1284,
1.145,308024.3239,
1.146,306105.3192,
1.147,304201.0083,
1.148,302311.2249,
1.149,300435.7739,
1.15,298574.4651,
1.151,296727.1466,
1.152,294893.7307,
1.153,293074.2116,
1.154,291268.6711,
1.155,289477.2727,
1.156,287700.2446,
1.157,285937.855,
1.158,284190.382,
1.159,282458.0827,
1.16,280741.1661,
1.161,279039.7728,
1.162,277353.9632,
1.163,275683.7177,
