time,p:1,q :1,timeStamp
0.684,1603112.099,-1683138.527,
0.685,1600764.153,-1680003.476,
0.686,1598453.839,-1676977.76,
0.687,1596223.46,-1674037.435,
0.688,1594103.956,-1671148.142,
0.689,1592111.105,-1668269.892,
0.69,1590243.816,-1665362.474,
0.691,1588484.687,-1662390.768,
0.692,1586802.704,-1659329.263,
0.693,1585157.664,-1656165.196,
0.694,1583505.709,-1652899.939,
0.695,1581805.202,-1649548.491,
0.696,1580022.171,-1646137.187,
0.697,1578134.609,-1642699.963,
0.698,1576135.09,-1639273.713,
0.699,1574031.404,-1635893.365,
0.7,1571845.163,-1632587.329,
0.701,1569609.062,-1629374.102,
0.702,1567361.935,-1626259.881,
0.703,1565143.094,-1623237.904,
0.704,1562987.565,-1620289.853,
0.705,1560921.576,-1617388.543,
0.706,1558959.318,-1614501.727,
0.707,1557101.374,-1611596.471,
0.708,1555334.975,-1608643.515,
